timestamp,close,high,low,open,volume
2025-05-22 23:00:00+00:00,1.1285407543182373,1.1291780471801758,1.1285407543182373,1.1290504932403564,735
2025-05-23 00:00:00+00:00,1.1300712823867798,1.1303266286849976,1.1282861232757568,1.1285407543182373,593
2025-05-23 01:00:00+00:00,1.131861925125122,1.1322463750839233,1.1299434900283813,1.1300712823867798,102
2025-05-23 02:00:00+00:00,1.131733775138855,1.1321182250976562,1.1312217712402344,1.131861925125122,526
2025-05-23 03:00:00+00:00,1.1316057443618774,1.1321182250976562,1.1316057443618774,1.1319899559020996,143
2025-05-23 04:00:00+00:00,1.1321182250976562,1.13237464427948,1.1313496828079224,1.131733775138855,353
2025-05-23 05:00:00+00:00,1.13275945186615,1.1328877210617065,1.1312217712402344,1.1321182250976562,972
2025-05-23 06:00:00+00:00,1.1316057443618774,1.1330161094665527,1.1314777135849,1.13275945186615,715
2025-05-23 07:00:00+00:00,1.134429931640625,1.1348161697387695,1.1316057443618774,1.1316057443618774,662
2025-05-23 08:00:00+00:00,1.1346874237060547,1.1348161697387695,1.1337867975234985,1.1340440511703491,177
2025-05-23 09:00:00+00:00,1.1353315114974976,1.135589361190796,1.134429931640625,1.1346874237060547,720
2025-05-23 10:00:00+00:00,1.1352026462554932,1.1361054182052612,1.1349449157714844,1.1352026462554932,809
2025-05-23 11:00:00+00:00,1.1330161094665527,1.1375269889831543,1.1307101249694824,1.1353315114974976,824
2025-05-23 12:00:00+00:00,1.1337867975234985,1.1354604959487915,1.1303266286849976,1.1326310634613037,408
2025-05-23 13:00:00+00:00,1.1319899559020996,1.1340440511703491,1.131733775138855,1.1340440511703491,850
2025-05-23 14:00:00+00:00,1.1348161697387695,1.1348161697387695,1.1316057443618774,1.1316057443618774,554
2025-05-23 15:00:00+00:00,1.1352026462554932,1.1362345218658447,1.1336582899093628,1.1348161697387695,295
2025-05-23 16:00:00+00:00,1.1362345218658447,1.1362345218658447,1.1345586776733398,1.1352026462554932,343
2025-05-23 17:00:00+00:00,1.1366219520568848,1.1370097398757935,1.135589361190796,1.1361054182052612,540
2025-05-23 18:00:00+00:00,1.1364928483963013,1.137268304824829,1.1361054182052612,1.1364928483963013,820
2025-05-23 19:00:00+00:00,1.1367511749267578,1.1368803977966309,1.1359764337539673,1.1363636255264282,135
2025-05-23 20:00:00+00:00,1.1368803977966309,1.1371389627456665,1.1363636255264282,1.1366219520568848,586
2025-05-23 21:00:00+00:00,1.1368803977966309,1.1368803977966309,1.1368803977966309,1.1368803977966309,954
