timestamp,spread_abs,spread_pct,spread_ewm,order_flow_sign,order_flow_signed_vol,order_flow_cum_delta,lob_weighted_mid,lob_imbalance_l0,vpin,kyle_lambda,amihud,volatility_cc,volatility_parkinson,volatility_garman_klass,volatility_rogers_satchell,volatility_yang_zhang,momentum_rsi,momentum_macd,momentum_macd_signal,momentum_macd_hist,momentum_roc_5,momentum_roc_10,momentum_roc_20,momentum_roc_50,mean_reversion_zscore,mean_reversion_hurst,mean_reversion_df_stat,trend_adx,trend_plus_di,trend_minus_di,trend_slope,trend_strength,volume_delta,volume_vwap,volume_vpoc,wavelet_trend,wavelet_cycle,wavelet_noise,kalman_price,kalman_velocity,cot_net_spec,cot_spec_ratio,cot_oi_change,cot_net_pos_change,cot_index,macro_surprise,macro_momentum,macro_decay_index,options_put_call_ratio,options_implied_vol,options_iv_rv_spread,options_skew,options_gamma_exposure,sentiment_score_ema,sentiment_volume_momentum,sentiment_impact,sentiment_divergence
2025-05-22 23:00:00+00:00,0.00011285407543182302,9.999999999999937e-05,0.00011285407543182302,1.0,735.0,735.0,1.1285407543182373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1285407543182373,1.1285407543182373,1.1285407543182373,0.0,0.0,1.1285407543182373,0.0,0.0,0.49999999999997496,inf,0.0,0.0,0.0,0.0,0.0,0.95,0.0200000115,0.0200000015,-0.0,1.0,0.0,0.9999999989999999,0.0,0.0
2025-05-23 00:00:00+00:00,0.00011300712823869574,0.00010000000000001573,0.0001129344281554312,1.0,593.0,1328.0,1.1300712823867798,0.0,0.0147,0.0,1.1435084085385797e-06,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-142.0,1.129224190421133,1.1300712823867798,1.1300712823867798,0.0,0.0,1.13006366819809,0.0007614188689828767,2267.724721571154,0.5056693118039026,0.0,0.0,0.9999999999955903,0.0,0.0,0.0,0.9565928392333659,0.037506815884476345,0.02228349772406213,-0.00033905024313168886,0.0,0.003673044300593296,1.370026303653199,0.0014746893559940944,0.0031079605620404813
2025-05-23 01:00:00+00:00,0.00011318619251232676,9.999999999983615e-05,0.00011302687451795488,1.0,102.0,1430.0,1.131861925125122,0.0,0.0147,-2.233648886407712e-06,5.940573043297291e-06,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-491.0,1.1294123365328863,1.131861925125122,1.131861925125122,0.0,0.0,1.1318424548039092,0.0017495321987760814,4576.466133106718,0.5114411653327412,0.0,0.0,0.999999999997815,0.0,0.0,0.0,0.9649656987321164,0.035637115863646845,0.02203962380830176,-0.000490123434738976,-0.3333333333333333,0.006065360057215633,1.5356626212421909,0.0032636058979851213,0.0037371086375638874
2025-05-23 02:00:00+00:00,0.00011317337751393097,0.00010000000000004019,0.00011306916766775957,-1.0,-526.0,904.0,1.131733775138855,0.0,0.0147,4.4737381754834916e-07,4.509241812719525e-06,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,424.0,1.130036608877845,1.131733775138855,1.131733775138855,0.0,0.0,1.1320549507182192,0.0008369344262767473,6328.550650996418,0.5158213766274652,0.0,0.0,0.9999999999984199,0.0,0.0,0.0,0.9760176205451401,0.03620596309067947,0.022113821272697322,-0.00035344001209938747,0.0,0.006382106908644418,1.623692418876314,0.0031414814895751194,0.0006866933333433316
2025-05-23 03:00:00+00:00,0.00011316057443622185,0.00010000000000003015,0.00011309127818719589,-1.0,-143.0,761.0,1.1316057443618774,0.0,0.01808,6.547493483619766e-07,3.7656144272979882e-06,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-383.0,1.1301435104377386,1.1316057443618774,1.1316057443618774,0.0,0.0,1.1319939145734956,0.0004545606038781414,8086.589661987979,0.5202164741549439,0.0,0.0,0.9999999999987634,0.0,0.0,0.0,0.9862274421327124,0.035549725282909554,0.022028225036901244,-0.0002714392098152607,0.2,0.0061230925348549755,1.671909569158203,0.0029858313079678673,-0.0006943083385497614
2025-05-23 04:00:00+00:00,0.00011321182250956241,9.99999999998205e-05,0.00011311670753306366,1.0,353.0,1114.0,1.1321182250976562,0.0,0.01808,6.200012855519018e-07,3.35183602080632e-06,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.31699969768306074,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,210.0,1.130427798478094,1.1321182250976562,1.1321182250976562,0.0,0.0,1.1322500675620975,0.0003887196890495771,9988.022254998796,0.5249700556374707,0.0,9988.022254998796,0.9999999999989987,0.0,0.0,0.0,0.9953031610887207,0.03392426197391352,0.021816208083553938,-0.00031672713260394447,0.2,0.006174486037689716,1.6955087514402223,0.004104056978504501,0.00016005661438917365
2025-05-23 05:00:00+00:00,0.00011327594518650841,9.999999999990591e-05,0.00011314681543190988,1.0,972.0,2086.0,1.13275945186615,0.0,0.02228,4.389171276206658e-07,2.956246805109372e-06,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.23787609872649257,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,619.0,1.1310897047553108,1.13275945186615,1.13275945186615,0.0,0.0,1.1327023470972473,0.0004060162918453753,11829.554560298158,0.5295738864007189,0.0,9561.829838727004,0.9999999999991546,0.0,0.0,0.0,1.0037973424004598,0.032713832046841446,0.02165832591915323,-0.00023774659421343936,0.6,0.005857717494994834,1.7017465522769546,0.0035015133099288074,-0.0011027856107260472
2025-05-23 06:00:00+00:00,0.00011316057443622185,0.00010000000000003015,0.00011314919374494131,-1.0,-715.0,1371.0,1.1316057443618774,0.0,0.04172,8.957647563337087e-07,2.7647741607379326e-06,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,-0.022633570187132968,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-257.0,1.1311788490700474,1.1316057443618774,1.1316057443618774,0.0,0.0,1.1324030823810094,0.0002429988599263011,12997.015339985403,0.5324925383499368,0.0,8420.549206878684,0.9999999999992305,0.0,0.0,0.0,1.0127247849895111,0.03545565187902177,0.02201595459291588,2.2556663362127692e-05,0.6,0.004541157579902316,1.6944917776461392,-0.00036723060275929616,-0.00499229084714487
2025-05-23 07:00:00+00:00,0.00011344299316418116,0.0001000000000001046,0.0001131963206083965,1.0,662.0,2033.0,1.134429931640625,0.0,0.04172,1.2121476522722267e-06,2.8764649652148264e-06,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.23823239714121122,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-53.0,1.131627134148515,1.134429931640625,1.134429931640625,0.0,0.0,1.1334025292684664,0.00039548154155568825,15334.582774197901,0.5383364569354678,0.0,9006.032123201483,0.9999999999993479,2.3335458797039177,2.3335458797039177,2.3335458797039177,1.0188406600442332,0.0395243262078189,0.022546651244498114,-0.00023833881854993245,0.2,0.004585793007224958,1.6759608723868638,0.004192012125399668,0.00018098336377369087
2025-05-23 08:00:00+00:00,0.00011346874237050386,9.999999999991044e-05,0.00011323734496528046,1.0,177.0,2210.0,1.134687423706055,0.0,0.04172,1.2175273801042333e-06,2.717055338263873e-06,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.2723280046545941,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-485.0,1.1317359471761734,1.134687423706055,1.134687423706055,0.0,0.0,1.1341428583899311,0.00045740944971170346,16636.905675842616,0.5415922641895795,0.0,8550.316013854637,0.9999999999993989,0.0,2.3335458797039177,2.216868585718722,1.0256137471920312,0.03851954185957654,0.02241559241646651,-0.0002723495443281654,0.2,0.004748989670659842,1.647479745932306,0.005073826143140544,0.0006980012159034654
